36	1	11009	1	0	0|
36	1	11010	1	0	0|
36	1	11011	1	0	0|
36	1	11012	1	0	0|
36	1	11001	2	0	0|
36	1	11001	3	0	0|
36	1	11002	2	0	0|
36	1	11002	3	0	0|
36	1	11002	4	0	0|
36	1	11002	5	0	0|
36	1	11002	6	0	0|
36	1	11002	7	0	0|
36	1	11002	8	0	0|
36	1	11002	9	0	0|
36	1	11002	10	0	0|
36	1	11002	11	0	0|
36	1	11005	8	0	0|
36	1	11005	9	0	0|
36	1	11005	10	0	0|
36	1	11005	11	0	0|
36	1	11005	12	0	0|
36	1	11005	13	0	0|
36	1	11005	14	0	0|
36	1	11005	15	0	0|
36	1	11005	16	0	0|
36	1	11007	2	0	0|
36	1	11008	2	0	0|
36	1	11009	2	0	0|
36	1	11009	3	0	0|
36	1	11009	4	0	0|
36	1	11009	5	0	0|
36	1	11009	6	0	0|
36	1	11009	7	0	0|
36	1	11009	8	0	0|
36	1	11009	9	0	0|
36	1	11009	10	0	0|
36	1	11004	2	0	0|
36	1	11004	3	0	0|
36	1	11004	4	0	0|
36	1	11004	5	0	0|
36	1	11004	6	0	0|
36	1	11004	7	0	0|
36	1	11004	8	0	0|
36	1	11005	2	0	0|
36	1	11005	3	0	0|
36	1	11005	4	0	0|
36	1	11005	5	0	0|
36	1	11005	7	0	0|
36	1	11012	2	0	0|
36	1	11001	1	0	0|
36	1	11002	1	0	0|
36	1	11004	1	0	0|
36	1	11005	1	0	0|
36	1	11007	1	0	0|
36	1	11008	1	0	0|
36	1	11009	11	0	0|
36	1	11009	12	0	0|
36	1	11009	13	0	0|
36	1	11009	14	0	0|
36	1	11009	15	0	0|
36	1	11009	16	0	0|
36	1	11009	17	0	0|
36	1	11009	18	0	0|
36	1	11010	2	0	0|
36	1	11010	3	0	0|
36	1	11010	4	0	0|
36	1	11011	2	0	0|
36	1	11011	3	0	0|
36	1	11011	4	0	0|
36	1	11011	5	0	0|
36	1	11011	6	0	0|
36	1	11011	7	0	0|
36	1	11011	8	0	0|
36	1	11005	6	0	0|
36	1	11012	3	0	0|
36	1	11012	4	0	0|
999	99999	99999	1	510996	17354|
999	99999	99999	2	191640	8676|
999	99999	99999	3	191640	8676|
